ID,post_id,author_handle,author_name,text,date_posted,language
126,3ld4dmv32222j,yfblanchet.bsky.social,Yves-François Blanchet,"À lire ce matin par @pauljournet.bsky.social.
Le Bloc a soutiré la bonne réponse du PM.
MM Singh et Poilievre ont nuancé et c'est sage.
Il y a des extrémités où ne pas aller pour quelques votes.
La religion est une affaire privée dont on fait un instrument politique.
plus.lapresse.ca/screens/2e77...",2024-12-12,French
149,3ld5jji24a22w,shaunchenmp.bsky.social,Shaun Chen,"It is #Christmas on Parliament Hill & the decorations are super festive this year - lights accenting the grand halls, trees adorned with golden ornaments, truly a special time of the year",2024-12-13,English
539,3ldbxt44c522c,jeanyip3.bsky.social,Jean Yip,It’s that time of year where I get my tires changed for the winter and afterwards I stop by the #ScarboroughBluffs.  It is so peaceful in the early evening.,2024-12-14,English
210,3lcqojnvyls26,jyduclos.bsky.social,Jean-Yves Duclos,The Lebanese community has shown incredible resilience through recent hardships. Thanks to the Centre islamique libanais de Montréal for discussing how we can support the community.,2024-12-07,English
373,3ldedhmvad22l,timlouiskitcon.bsky.social,NA,"Nothing beats connecting with our community through real conversations.

While visiting small businesses in St. Jacobs, I spoke with Tracey, who shared how the village has evolved and strengthened its sense of community. I couldn’t agree more—it’s a special place.

Thank for the lovely chat, Tracey!",2024-12-15,English
317,3ldjtp2zzjs26,mpjulian.bsky.social,Peter Julian 🇨🇦,"Les Canadiens font face à
une crise du logement, une
crise dans leur système de soins de santé et une crise du coût de la vie.

Alors, pourquoi le Bloc vient-il d'aider les libéraux à interrompre les travaux du Parlement ?

Le #NPD se bat pour apporter une aide réelle aux travailleurs canadiens !",2024-12-17,French
423,3ld5livqegk2r,taleeb.bsky.social,Taleeb Noormohamed,"Christmas is the time of year when millions of #Canadians come together to celebrate Jesus’s birth & his teachings of kindness and compassion. 

From our entire #Liberal Caucus, Merry Christmas!",2024-12-13,English
250,3ld7jv5hnas2m,markgerretsen.bsky.social,Mark Gerretsen,"But wait…Conservatives have been claiming this for years ! 🙄

www.thestar.com/politics/fed...",2024-12-13,English
8,3ldswdyuvlk2o,charlieangus104.bsky.social,Charlie Angus,"Song of the day: Coldest Night of the Year - Yashti Bunyan
Happy Solstice. It is the darkest night of the year and at -28 it is the coldest night so far in the north country.

www.youtube.com/watch?v=eCcB...",2024-12-21,English
403,3ld7dfaenoc25,heathermcpherson.bsky.social,Heather McPherson MP,"The 1901 ""gold digger clause"" which prevents spouses of Canadian Forces veterans from receiving survivor benefits is wrong and must be eliminated now!

www.youtube.com/watch?v=mkJ_...",2024-12-13,English
498,3lcokcsd4bk25,turnbullwhitby.bsky.social,Ryan Turnbull 🇨🇦,"Today I rose in the house to highlight the Conservative leader who’s serving up hypocrisy and slogans for the holidays, instead of tax breaks. 

Watch 👇

#cdnpoli #SlogansDontSolveProblems #PierreDoesntCare",2024-12-07,English
567,3ld3pni6ez22w,mp-bonitazarrillo.bsky.social,MP Bonita Zarrillo,"Housing is a human right! Today, I tabled my housing bill C423 to urge  the Liberals to adopt it and protect people’s right to a place to call home.
youtu.be/e-iaS64eXTI?...",2024-12-12,English
443,3ld7jf62rhs2s,roboliphant.bsky.social,Rob Oliphant,"In Canada and in free trade negotiations, Indigenous Peoples and their voices must be heard. 

Was pleased to meet with and listen to an Ecuadorian delegation of Indigenous leaders during their visit on the margins of the latest round of negotiations of the Canada-Ecuador FTA.",2024-12-13,English
