honorific_title,first_name,last_name,gender,username,profile_URL,account_status,political_affiliation,constituency,province_territory
Hon.,François-Philippe,Champagne,Man,,,,Liberal,Saint-Maurice—Champlain,Quebec
,Martin,Champoux,Man,martchampoux.bsky.social,https://bsky.app/profile/martchampoux.bsky.social,Active,Bloc Québécois,Drummond,Quebec
,Sophie,Chatel,Woman,sophiechatel.bsky.social,https://bsky.app/profile/sophiechatel.bsky.social,Active,Liberal,Pontiac,Quebec
,Shaun,Chen,Man,shaunchenmp.bsky.social,https://bsky.app/profile/shaunchenmp.bsky.social,Active,Liberal,Scarborough North,Ontario
,Paul,Chiang,Man,paulchiang.bsky.social,https://bsky.app/profile/paulchiang.bsky.social,Inactive,Liberal,Markham—Unionville,Ontario
Hon.,Michael,Chong,Man,,,,Conservative,Wellington—Halton Hills,Ontario
,Chad,Collins,Man,chadcollins.bsky.social,https://bsky.app/profile/chadcollins.bsky.social,Inactive,Liberal,Hamilton East—Stoney Creek,Ontario
,Laurel,Collins,Woman,laurelcollins.bsky.social,https://bsky.app/profile/laurelcollins.bsky.social,Active,NDP,Victoria,British Columbia
,Michael,Cooper,Man,,,,Conservative,St. Albert—Edmonton,Alberta
,Serge,Cormier,Man,,,,Liberal,Acadie—Bathurst,New Brunswick
,Michael,Coteau,Man,coteau.bsky.social,https://bsky.app/profile/coteau.bsky.social,Active,Liberal,Don Valley East,Ontario
,Chris,d'Entremont,Man,chrisdentremontmp.bsky.social,https://bsky.app/profile/chrisdentremontmp.bsky.social,Inactive,Conservative,West Nova,Nova Scotia
,Julie,Dabrusin,Woman,juliedabrusin.bsky.social,https://bsky.app/profile/juliedabrusin.bsky.social,Active,Liberal,Toronto—Danforth,Ontario
,Marc,Dalton,Man,marcdalton.bsky.social,https://bsky.app/profile/marcdalton.bsky.social,Inactive,Conservative,Pitt Meadows—Maple Ridge,British Columbia
,Pam,Damoff,Woman,pamdamoff.bsky.social,https://bsky.app/profile/pamdamoff.bsky.social,Active,Liberal,Oakville North—Burlington,Ontario
,Leila,Dance,Woman,leiladance.bsky.social,https://bsky.app/profile/leiladance.bsky.social,Active,NDP,Elmwood—Transcona,Manitoba
,Raquel,Dancho,Woman,,,,Conservative,Kildonan—St. Paul,Manitoba
,Scot,Davidson,Man,,,,Conservative,York—Simcoe,Ontario
,Don,Davies,Man,donvdavies.bsky.social,https://bsky.app/profile/donvdavies.bsky.social,Active,NDP,Vancouver Kingsway,British Columbia
,Claude,DeBellefeuille,Woman,,,,Bloc Québécois,Salaberry—Suroît,Quebec
,Gérard,Deltell,Man,,,,Conservative,Louis-Saint-Laurent,Quebec
