honorific_title,name,constituency,province_territory,political_affiliation,username,profile_URL,verified
Hon.,Anna Gainey,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,annamgainey.bsky.social,https://bsky.app/profile/annamgainey.bsky.social,No
,Vince Gasparro,Eglinton–Lawrence,Ontario,Liberal,vgasparro.bsky.social,https://bsky.app/profile/vgasparro.bsky.social,No
,Leah Gazan,Winnipeg Centre,Manitoba,NDP,leahgazan.bsky.social,https://bsky.app/profile/leahgazan.bsky.social,No
Hon.,Mark Gerretsen,Kingston and the Islands,Ontario,Liberal,markgerretsen.bsky.social,https://bsky.app/profile/markgerretsen.bsky.social,Yes
,Marilène Gill,C√¥te-Nord‚ÄîKawawachikamach‚ÄîNitassinan,Quebec,Bloc Qu√©b√©cois,marilenegill.bsky.social,https://bsky.app/profile/marilenegill.bsky.social,No
Hon.,Karina Gould,Burlington,Ontario,Liberal,karinagould.bsky.social,https://bsky.app/profile/karinagould.bsky.social,No
,Wade Grant,Vancouver Quadra,British Columbia,Liberal,wadegrant.bsky.social,https://bsky.app/profile/wadegrant.bsky.social,No
,Will Greaves,Victoria,British Columbia,Liberal,wgreaves.bsky.social,https://bsky.app/profile/wgreaves.bsky.social,No
,Claude Guay,LaSalle‚Äî√âmard‚ÄîVerdun,Quebec,Liberal,claudeguay.bsky.social,https://bsky.app/profile/claudeguay.bsky.social,No
Hon.,Steven Guilbeault,Laurier–_Sainte-Marie,Quebec,Liberal,stevenguilbeault.bsky.social,https://bsky.app/profile/stevenguilbeault.bsky.social,No
Hon.,Mandy Gull-Masty,Abitibi–_Baie-James–_Nunavik–_Eeyou,Quebec,Liberal,mandygull-mastymp.bsky.social,https://bsky.app/profile/mandygull-mastymp.bsky.social,No
Hon.,Patty Hajdu,Thunder Bay–_Superior North,Ontario,Liberal,pattyhajdu.bsky.social,https://bsky.app/profile/pattyhajdu.bsky.social,No
,Brendan Hanley,Yukon,Yukon,Liberal,drbrendanhanley.bsky.social,https://bsky.app/profile/drbrendanhanley.bsky.social,No
,Emma Harrison,Peterborough,Ontario,Liberal,emmaharrisonptbo.bsky.social,https://bsky.app/profile/emmaharrisonptbo.bsky.social,No
,Lisa Hepfner,Hamilton Mountain,Ontario,Liberal,lisahepfner.bsky.social,https://bsky.app/profile/lisahepfner.bsky.social,No
