honorific_title,name,constituency,province_territory,political_affiliation,gender,username,profile_URL,verified
NA,Alexandre Boulerice,Rosemont—La Petite-Patrie,Quebec,NDP,Man,alexboulerice.bsky.social,https://bsky.app/profile/alexboulerice.bsky.social,No
NA,Alexis Brunelle-Duceppe,Lac-Saint-Jean,Quebec,Bloc Québécois,Man,alexisduceppe.bsky.social,https://bsky.app/profile/alexisduceppe.bsky.social,No
Right Hon.,Mark Carney,Nepean,Ontario,Liberal,Man,mark-carney.bsky.social,https://bsky.app/profile/mark-carney.bsky.social,Yes
NA,Ben Carr,Winnipeg South Centre,Manitoba,Liberal,Man,bencarrwpg.bsky.social,https://bsky.app/profile/bencarrwpg.bsky.social,No
NA,Martin Champoux,Drummond,Quebec,Bloc Québécois,Man,martchampoux.bsky.social,https://bsky.app/profile/martchampoux.bsky.social,No
Hon.,Rebecca Chartrand,Churchill—Keewatinook Aski,Manitoba,Liberal,Woman,rebeccachartrand.bsky.social,https://bsky.app/profile/rebeccachartrand.bsky.social,No
NA,Sophie Chatel,Pontiac—Kitigan Zibi,Quebec,Liberal,Woman,sophiechatel.bsky.social,https://bsky.app/profile/sophiechatel.bsky.social,No
NA,Shaun Chen,Scarborough North,Ontario,Liberal,Man,shaunchenmp.bsky.social,https://bsky.app/profile/shaunchenmp.bsky.social,No
NA,Leslie Church,Toronto—St. Paul's,Ontario,Liberal,Woman,lesliechurch.bsky.social,https://bsky.app/profile/lesliechurch.bsky.social,No
NA,Michael Coteau,Scarborough—Woburn,Ontario,Liberal,Man,coteau.bsky.social,https://bsky.app/profile/coteau.bsky.social,No
NA,Chris d'Entremont,Acadie—Annapolis,Nova Scotia,Conservative,Man,chrisdentremontmp.bsky.social,https://bsky.app/profile/chrisdentremontmp.bsky.social,No
Hon.,Julie Dabrusin,Toronto—Danforth,Ontario,Liberal,Woman,juliedabrusin.bsky.social,https://bsky.app/profile/juliedabrusin.bsky.social,No
NA,Marc Dalton,Pitt Meadows—Maple Ridge,British Columbia,Conservative,Man,marcdalton.bsky.social,https://bsky.app/profile/marcdalton.bsky.social,No
NA,Marianne Dandurand,Compton—Stanstead,Quebec,Liberal,Woman,madandurand.bsky.social,https://bsky.app/profile/madandurand.bsky.social,No
NA,John-Paul Danko,Hamilton West—Ancaster—Dundas,Ontario,Liberal,Man,johnpauldanko.bsky.social,https://bsky.app/profile/johnpauldanko.bsky.social,No
NA,Don Davies,Vancouver Kingsway,British Columbia,NDP,Man,donvdavies.bsky.social,https://bsky.app/profile/donvdavies.bsky.social,No
Hon.,Jean-Yves Duclos,Québec Centre,Quebec,Liberal,Man,jyduclos.bsky.social,https://bsky.app/profile/jyduclos.bsky.social,No
NA,Julie Dzerowicz,Davenport,Ontario,Liberal,Woman,juliedzerowicz.bsky.social,https://bsky.app/profile/juliedzerowicz.bsky.social,No
Hon.,Ali Ehsassi,Willowdale,Ontario,Liberal,Man,aliehsassi.bsky.social,https://bsky.app/profile/aliehsassi.bsky.social,No
Hon.,Nathaniel Erskine-Smith,Beaches—East York,Ontario,Liberal,Man,beynate.bsky.social,https://bsky.app/profile/beynate.bsky.social,No
NA,Doug Eyolfson,Winnipeg West,Manitoba,Liberal,Man,drdougeyolfson.bsky.social,https://bsky.app/profile/drdougeyolfson.bsky.social,No
NA,Jessica Fancy,South Shore—St. Margarets,Nova Scotia,Liberal,Woman,jessicafancymp.bsky.social,https://bsky.app/profile/jessicafancymp.bsky.social,No
NA,Bruce Fanjoy,Carleton,Ontario,Liberal,Man,brucefanjoy.bsky.social,https://bsky.app/profile/brucefanjoy.bsky.social,No
Hon.,Greg Fergus,Hull—Aylmer,Quebec,Liberal,Man,gregfergus.bsky.social,https://bsky.app/profile/gregfergus.bsky.social,No
Hon.,Darren Fisher,Dartmouth—Cole Harbour,Nova Scotia,Liberal,Man,darrenfisherns.bsky.social,https://bsky.app/profile/darrenfisherns.bsky.social,No
Hon.,Mona Fortier,Ottawa—Vanier—Gloucester,Ontario,Liberal,Woman,monafortier.bsky.social,https://bsky.app/profile/monafortier.bsky.social,No
NA,Rhéal Éloi Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,Man,rhealfortin.bsky.social,https://bsky.app/profile/rhealfortin.bsky.social,No
Hon.,Sean Fraser,Central Nova,Nova Scotia,Liberal,Man,seanfraser.bsky.social,https://bsky.app/profile/seanfraser.bsky.social,No
Hon.,Chrystia Freeland,University—Rosedale,Ontario,Liberal,Woman,chrystia-freeland.bsky.social,https://bsky.app/profile/chrystia-freeland.bsky.social,No
Hon.,Hedy Fry,Vancouver Centre,British Columbia,Liberal,Woman,hedyfry.bsky.social,https://bsky.app/profile/hedyfry.bsky.social,No
Hon.,Stephen Fuhr,Kelowna,British Columbia,Liberal,Man,theflyboy.bsky.social,https://bsky.app/profile/theflyboy.bsky.social,No
Hon.,Anna Gainey,Notre-Dame-de-Grâce—Westmount,Quebec,Liberal,Woman,annamgainey.bsky.social,https://bsky.app/profile/annamgainey.bsky.social,No
NA,Vince Gasparro,Eglinton—Lawrence,Ontario,Liberal,Man,vgasparro.bsky.social,https://bsky.app/profile/vgasparro.bsky.social,No
NA,Leah Gazan,Winnipeg Centre,Manitoba,NDP,Woman,leahgazan.bsky.social,https://bsky.app/profile/leahgazan.bsky.social,No
Hon.,Mark Gerretsen,Kingston and the Islands,Ontario,Liberal,Man,markgerretsen.bsky.social,https://bsky.app/profile/markgerretsen.bsky.social,Yes
NA,Marilène Gill,Côte-Nord—Kawawachikamach—Nitassinan,Quebec,Bloc Québécois,Woman,marilenegill.bsky.social,https://bsky.app/profile/marilenegill.bsky.social,No
Hon.,Karina Gould,Burlington,Ontario,Liberal,Woman,karinagould.bsky.social,https://bsky.app/profile/karinagould.bsky.social,No
NA,Wade Grant,Vancouver Quadra,British Columbia,Liberal,Man,wadegrant.bsky.social,https://bsky.app/profile/wadegrant.bsky.social,No
NA,Will Greaves,Victoria,British Columbia,Liberal,Man,wgreaves.bsky.social,https://bsky.app/profile/wgreaves.bsky.social,No
NA,Claude Guay,LaSalle—Émard—Verdun,Quebec,Liberal,Man,claudeguay.bsky.social,https://bsky.app/profile/claudeguay.bsky.social,No
Hon.,Steven Guilbeault,Laurier—Sainte-Marie,Quebec,Liberal,Man,stevenguilbeault.bsky.social,https://bsky.app/profile/stevenguilbeault.bsky.social,No
Hon.,Mandy Gull-Masty,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Liberal,Woman,mandygull-mastymp.bsky.social,https://bsky.app/profile/mandygull-mastymp.bsky.social,No
Hon.,Patty Hajdu,Thunder Bay—Superior North,Ontario,Liberal,Woman,pattyhajdu.bsky.social,https://bsky.app/profile/pattyhajdu.bsky.social,No
